name_en,short_description_en,date_inscribed,region_en,continent,states_name_en,category,area_hectares,transboundary,danger,short_description_en_clean
Archaeological Heritage of the Lenggong Valley,"<p>Situated in the lush Lenggong Valley, the property includes four archaeological sites in two clusters which span close to 2 million years, one of the longest records of early man in a single locality, and the oldest outside the African continent. It features open-air and cave sites with Palaeolithic tool workshops, evidence of early technology. The number of sites found in the relatively contained area suggests the presence of a fairly large, semi-sedentary population with cultural remains from the Palaeolithic, Neolithic and Metal ages.</p>",2012,Asia and the Pacific,AS,Malaysia,Cultural,398.64,0,0,psituated lush lenggong valley property includes four archaeological cluster span close million year longest record early man single locality oldest outside african continent openair cave palaeolithic tool workshop evidence early technology number found relatively contained suggests presence fairly large semisedentary population cultural remains palaeolithic neolithic metal agesp
"Rabat, Modern Capital and Historic City: a Shared Heritage","<p>Located on the Atlantic coast in the north-west of Morocco, the site is the product of a fertile exchange between the Arabo-Muslim past and Western modernism. The inscribed city encompasses the new town conceived and built under the French Protectorate from 1912 to the 1930s, including royal and administrative areas, residential and commercial developments and the <em>Jardins d’Essais </em>botanical and pleasure gardens. It also encompasses older parts of the city dating back to the 12<sup>th</sup>century. The new town is one of the largest and most ambitious modern urban projects built in Africa in the 20th century and probably the most complete. The older parts include Hassan Mosque (begun in 1184) and the Almohad ramparts and gates, the only surviving parts of the project for a great capital city of the Almohad caliphate as well as remains from the Moorish, or Andalusian, principality of the 17<sup>th</sup>century.</p>",2012,Africa,AF,Morocco,Cultural,348.59,0,0,plocated atlantic coast northwest morocco product fertile exchange arabomuslim past western modernism inscribed encompasses new conceived french protectorate royal administrative residential commercial development emjardins essais embotanical pleasure garden also encompasses older dating back new largest ambitious modern urban project africa probably complete older include hassan mosque begun almohad rampart gate surviving project capital almohad caliphate remains moorish andalusian principality
Rock Islands Southern Lagoon,"<p>Rock Islands Southern Lagoon covers 100,200 ha and includes 445 uninhabited limestone islands of volcanic origin. Many of them display unique mushroom-like shapes in turquoise lagoons surrounded by coral reefs. The aesthetic beauty of the site is heightened by a complex reef system featuring over 385 coral species and different types of habitat. They sustain a large diversity of plants, birds and marine life including dugong and at least thirteen shark species. The site harbours the highest concentration of marine lakes anywhere, isolated bodies of seawater separated from the ocean by land barriers. They are among the islands’ distinctive features and sustain high endemism of populations which continue to yield new species discoveries. The remains of stonework villages, as well as burial sites and rock art, bear testimony to the organization of small island communities over some three millennia. The abandonment of the villages in the 17th and 18th centuries illustrates the consequences of climate change, population growth and subsistence behaviour on a society living in a marginal marine environment.</p>",2012,Asia and the Pacific,OC,Palau,Mixed,100200.0,0,0,prock island southern lagoon cover ha includes uninhabited limestone island volcanic origin display unique mushroomlike shape turquoise lagoon surrounded coral reef aesthetic beauty heightened reef featuring coral specie different type habitat sustain large diversity plant bird marine life dugong least thirteen shark specie harbour highest concentration marine lake anywhere isolated body seawater separated ocean land barrier among island distinctive sustain high endemism population continue yield new specie discovery remains stonework village burial rock art bear testimony organization small island community millennium abandonment village illustrates consequence climate change population growth subsistence behaviour society living marginal marine environmentp
"Birthplace of Jesus: Church of the Nativity and the Pilgrimage Route, Bethlehem","<p>The inscribed property is situated 10 km south of Jerusalem on the site identified by Christian tradition as the birthplace of Jesus since the 2nd century. A church was first completed there in ad 339 and the edifice that replaced it after a fire in the 6th century retains elaborate floor mosaics from the original building. The site also includes Latin, Greek Orthodox, Franciscan and Armenian convents and churches, as well as bell towers, terraced gardens and a pilgrimage route.</p>",2012,Middle East,AS,Palestine,Cultural,2.98,0,0,inscribed property situated km south jerusalem identified christian tradition birthplace jesus since church completed ad edifice replaced fire retains elaborate floor mosaic original also includes latin greek orthodox franciscan armenian convent church bell tower terraced garden pilgrimage routep
Garrison Border Town of Elvas and its Fortifications,"<p>The site, extensively fortified from the 17<sup>th</sup> to 19<sup>th</sup> centuries, represents the largest bulwarked dry-ditch system in the world. Within its walls, the town contains barracks and other military buildings as well as churches and monasteries. While Elvas contains remains dating back to the 10th century ad, its fortification began when Portugal regained independence in 1640. The fortifications designed by Dutch Jesuit padre Cosmander represent the best surviving example of the Dutch school of fortifications anywhere. The site also contains the Amoreira aqueduct, built to enable the stronghold to withstand lengthy sieges.</p>",2012,Europe,EU,Portugal,Cultural,179.3559,0,0,extensively fortified represents largest bulwarked dryditch within wall contains barrack military church monastery elvas contains remains dating back ad fortification began portugal regained independence fortification designed dutch jesuit padre cosmander represent best surviving example dutch school fortification anywhere also contains amoreira aqueduct enable stronghold withstand lengthy siegesp
Lena Pillars Nature Park,"<p>Lena Pillars Nature Park is marked by spectacular rock pillars that reach a height of approximately 100 m along the banks of the Lena River in the central part of the Sakha Republic (Yakutia). They were produced by the region’s extreme continental climate with an annual temperature range of almost 100 degrees Celsius (from –60 °C in winter to +40 °C in summer). The pillars form rocky buttresses isolated from each other by deep and steep gullies developed by frost shattering directed along intervening joints. Penetration of water from the surface has facilitated cryogenic processes (freeze-thaw action), which have widened gullies between pillars leading to their isolation. Fluvial processes are also critical to the pillars. The site also contains a wealth of Cambrian fossil remains of numerous species, some of them unique.</p>",2012,Europe,EU,Russian Federation,Natural,1387000.0,0,0,plenum pillar nature park marked spectacular rock pillar reach height approximately along bank lena river central sakha republic yakutia produced extreme continental climate annual temperature range almost degree celsius c winter c summer pillar rocky buttress isolated deep steep gully developed frost shattering directed along intervening joint penetration water surface facilitated cryogenic process freezethaw action widened gully pillar leading isolation fluvial process also critical pillar also contains wealth cambrian fossil remains numerous specie uniquep
"Bassari Country: Bassari, Fula and Bedik Cultural Landscapes","<p>The site, located in south-east Senegal, includes three geographical areas: the Bassari–Salémata area, the Bedik–Bandafassi area and the Fula–Dindéfello area, each with its specific morphological traits. The Bassari, Fula and Bedik peoples settled from the 11th to the 19th centuries and developed specific cultures and habitats symbiotic with their surrounding natural environment. The Bassari landscape is marked by terraces and rice paddies, interspersed with villages, hamlets and archaeological sites. The Bedik villages are formed by dense groups of huts with steep thatched roofs. Their inhabitants’ cultural expressions are characterized by original traits of agro-pastoral, social, ritual and spiritual practices, which represent an original response to environmental constraints and human pressures. The site is a well-preserved multicultural landscape housing original and still vibrant local cultures.</p>",2012,Africa,AF,Senegal,Cultural,50309.0,0,0,located southeast senegal includes geographical bassari salémata bedik bandafassi fula dindéfello specific morphological trait bassari fula bedik people settled developed specific culture habitat symbiotic surrounding natural environment bassari marked terrace rice paddy interspersed village hamlet archaeological bedik village formed dense group hut steep thatched roof inhabitant cultural expression characterized original trait agropastoral social ritual spiritual practice represent original response environmental constraint human pressure wellpreserved multicultural housing original still vibrant local culturesp
Decorated Farmhouses of Hälsingland,"<p>Seven timber houses are listed in this site located in the east of Sweden, representing the zenith of a regional timber building tradition that dates back to the Middle Ages. They reflect the prosperity of independent farmers who in the 19th century used their wealth to build substantial new homes with elaborately decorated ancillary houses or suites of rooms reserved for festivities. The paintings represent a fusion of folk art with the styles favoured by the landed gentry of the time, including Baroque and Rococo. Decorated by painters, including known and unknown itinerant artists, the listed properties represent the final flowering of a long cultural tradition.</p>",2012,Europe,EU,Sweden,Cultural,14.84,0,0,pseven timber house listed located east sweden representing zenith regional timber tradition date back middle age reflect prosperity independent farmer used wealth build substantial new home elaborately decorated ancillary house suite room reserved festivity painting represent fusion folk art style favoured landed gentry time baroque rococo decorated painter known unknown itinerant artist listed property represent final flowering long cultural traditionp
Neolithic Site of Çatalhöyük,"<p>Two hills form the 37&nbsp;ha site on the Southern Anatolian Plateau. The taller eastern mound contains eighteen levels of Neolithic occupation between 7400&nbsp;bc and 6200&nbsp;bc, including wall paintings, reliefs, sculptures and other symbolic and artistic features. Together they testify to the evolution of social organization and cultural practices as humans adapted to a sedentary life. The western mound shows the evolution of cultural practices in the Chalcolithic period, from 6200&nbsp;bc to 5200&nbsp;bc. &Ccedil;atalh&ouml;y&uuml;k provides important evidence of the transition from settled villages to urban agglomeration, which was maintained in the same location for over 2,000 years. It features a unique streetless settlement of houses clustered back to back with roof access into the buildings.</p>",2012,Middle East,AS,Turkey,Cultural,37.0,0,0,ptwo hill southern anatolian plateau taller eastern mound contains eighteen level neolithic occupation wall painting relief sculpture symbolic artistic together testify evolution social organization cultural practice human adapted sedentary life western mound show evolution cultural practice chalcolithic ccedilatalhoumlyuumlk provides evidence transition settled village urban agglomeration maintained location year unique streetless settlement house clustered back back roof access buildingsp
Sangha Trinational,"<p>Situated in the north-western Congo Basin, where Cameroon, Central African Republic and Congo meet, the site encompasses three contiguous national parks totalling around 750,000 ha. Much of the site is unaffected by human activity and features a wide range of humid tropical forest ecosystems with rich flora and fauna, including Nile crocodiles and goliath tigerfish, a large predator. Forest clearings support herbaceous species and Sangha is home to considerable populations of forest elephants, critically endangered western lowland gorilla, and endangered chimpanzee. The site’s environment has preserved the continuation of ecological and evolutionary processes on a huge scale and great biodiversity, including many endangered animal species.</p>",2012,Africa,AF,"Cameroon,Central African Republic,Congo",Natural,746309.0,1,0,psituated northwestern congo basin cameroon central african republic congo meet encompasses contiguous national park totalling around ha much unaffected human activity wide range humid tropical forest ecosystem rich flora fauna nile crocodile goliath tigerfish large predator forest clearing support herbaceous specie sangha home considerable population forest elephant critically endangered western lowland gorilla endangered chimpanzee environment preserved continuation ecological evolutionary process huge scale biodiversity endangered animal speciesp
Heritage of Mercury. Almadén and Idrija,"<p>The property includes the mining sites of Almad&eacute;n (Spain), where mercury (quicksilver) has been extracted since antiquity, and Idrija (Slovenia), where mercury was first found in AD1490. The Spanish property includes buildings relating to its mining history, including Retamar Castle, religious buildings and traditional dwellings. The site in Idrija notably features mercury stores and infrastructure, as well as miners&rsquo; living quarters, and a miners&rsquo; theatre. The sites bear testimony to the intercontinental trade in mercury which generated important exchanges between Europe and America over the centuries. Together they represent the two largest mercury mines in the world, operational until recent times.</p>",2012,Europe,EU,"Slovenia,Spain",Cultural,104.1,1,0,property includes mining almadeacuten spain mercury quicksilver extracted since antiquity idrija slovenia mercury found spanish property includes relating mining history retamar castle religious traditional dwelling idrija notably mercury store infrastructure minersrsquo living quarter minersrsquo theatre bear testimony intercontinental trade mercury generated exchange europe america together represent largest mercury mine operational recent timesp
Ningaloo Coast,"<p>The 604,500 hectare marine and terrestrial property of Ningaloo Coast, on the remote western coast of Australia, includes one of the longest near-shore reefs in the world. On land the site features an extensive karst system and network of underground caves and water courses. Annual gatherings of whale sharks occur at Ningaloo Coast, which is home to numerous marine species, among them a wealth of sea turtles. The terrestrial part of the site features subterranean water bodies with a substantial network of caves, conduits, and groundwater streams. They support a variety of rare species that contribute to the exceptional biodiversity of the marine and terrestrial site</p>",2011,Asia and the Pacific,OC,Australia,Natural,705015.0,0,0,hectare marine terrestrial property ningaloo coast remote western coast australia includes longest nearshore reef land extensive karst network underground cave water course annual gathering whale shark occur ningaloo coast home numerous marine specie among wealth sea turtle terrestrial subterranean water body substantial network cave conduit groundwater stream support variety rare specie contribute exceptional biodiversity marine terrestrial sitep
Historic Bridgetown and its Garrison,"<p>Historic Bridgetown and its Garrison, an outstanding example of British colonial architecture consisting of a well-preserved old town built in the 17th, 18th and 19th centuries, which testifies to the spread of Great Britain's Atlantic colonial empire. The property also includes a nearby military garrison which consists of numerous historic buildings. With its serpentine urban lay-out the property testifies to a different approach to colonial town-planning compared to the Spanish and Dutch colonial cities of the region which were built along a grid plan.</p>",2011,Latin America and the Caribbean,NA,Barbados,Cultural,187.0,0,0,phistoric bridgetown garrison outstanding example british colonial architecture consisting wellpreserved old testifies spread britain atlantic colonial empire property also includes nearby military garrison consists numerous historic serpentine urban layout property testifies different approach colonial townplanning compared spanish dutch colonial along grid planp
West Lake Cultural Landscape of Hangzhou,"<p>The West Lake Cultural Landscape of Hangzhou, comprising the West Lake and the hills surrounding its three sides, has inspired famous poets, scholars and artists since the 9th century. It comprises numerous temples, pagodas, pavilions, gardens and ornamental trees, as well as causeways and artificial islands. These additions have been made to improve the landscape west of the city of Hangzhou to the south of the Yangtze river.</p>
<p>The West Lake has influenced garden design in the rest of China as well as Japan and Korea over the centuries and bears an exceptional testimony to the cultural tradition of improving landscapes to create a series of vistas reflecting an idealised fusion between humans and nature.</p>
<p> </p>",2011,Asia and the Pacific,AS,China,Cultural,3322.88,0,0,west lake cultural hangzhou comprising west lake hill surrounding side inspired famous poet scholar artist since comprises numerous temple pagoda pavilion garden ornamental tree causeway artificial island addition made improve west hangzhou south yangtze riverppthe west lake influenced garden design rest china japan korea bear exceptional testimony cultural tradition improving create series vista reflecting idealised fusion human naturepp p
Coffee Cultural Landscape of Colombia,"<p>An exceptional example of a sustainable and productive cultural landscape that is unique and representative of a tradition that is a strong symbol for coffee growing areas worldwide - encompasses six farming landscapes, which include 18 urban centres on the foothills of the western and central ranges of the Cordillera de los Andes in the west of the country. It reflects a centennial tradition of coffee growing in small plots in the high forest and the way farmers have adapted cultivation to difficult mountain conditions. The urban areas, mainly situated on the relatively flat tops of hills above sloping coffee fields, are characterized by the architecture of the Antioquian colonization with Spanish influence. Building materials were, and remain in some areas, cob and pleated cane for the walls with clay tiles for the roofs.</p>",2011,Latin America and the Caribbean,SA,Colombia,Cultural,141120.0,0,0,pan exceptional example sustainable productive cultural unique representative tradition strong symbol coffee growing worldwide encompasses six farming include urban centre foothill western central range cordillera de los andes west country reflects centennial tradition coffee growing small plot high forest way farmer adapted cultivation difficult mountain condition urban mainly situated relatively flat top hill sloping coffee field characterized architecture antioquian colonization spanish influence material cob pleated cane wall clay tile roofsp
Konso Cultural Landscape,"<p>Konso Cultural Landscape is an arid property of stone walled terraces and fortified settlements in the Konso highlands of Ethiopia. It constitutes a spectacular example of a living cultural tradition stretching back 21 generations (more than 400 years) adapted to its dry hostile environment. The landscape demonstrates the shared values, social cohesion and engineering knowledge of its communities. The site also features anthropomorphic wooden statues - grouped to represent respected members of their communities and particularly heroic events - which are an exceptional living testimony to funerary traditions that are on the verge of disappearing. Stone steles in the towns express a complex system of marking the passing of generations of leaders.</p>",2011,Africa,AF,Ethiopia,Cultural,23000.0,0,0,pkonso cultural arid property stone walled terrace fortified settlement konso highland ethiopia constitutes spectacular example living cultural tradition stretching back generation year adapted dry hostile environment demonstrates shared value social cohesion engineering knowledge community also anthropomorphic wooden statue grouped represent respected member community particularly heroic event exceptional living testimony funerary tradition verge disappearing stone stele express marking passing generation leadersp
"The Causses and the Cévennes, Mediterranean agro-pastoral Cultural Landscape","<p>This 302,319 ha property, in the southern part of central France, is a mountain landscape interspersed by deep valleys that is representative of the relationship between agro-pastoral systems and their biophysical environment, notably through drailles or drove roads. Villages and substantial stone farmhouses on deep terraces of the Causses reflect the organization of large abbeys from the 11th century. Mont Loz&egrave;re, inside the property, is one of the last places where summer transhumance is still practiced in the traditional way, using the drailles.</p>",2011,Europe,EU,France,Cultural,302319.0,0,0,pthis ha property southern central france mountain interspersed deep valley representative relationship agropastoral biophysical environment notably drailles drove road village substantial stone farmhouse deep terrace causses reflect organization large abbey mont lozegravere inside property last place summer transhumance still practiced traditional way using draillesp
Fagus Factory in Alfeld,"<p>Fagus Factory in Alfeld is a 10-building complex - began around 1910 to the design of Walter Gropius, which is a landmark in the development of modern architecture and industrial design. Serving all stages of manufacture, storage and dispatch of lasts used by the shoe industry, the complex, which is still operational today, is situated in Alfeld an der Leine in Lower Saxony. With its groundbreaking vast expanses of glass panels and functionalist aesthetics, the complex foreshadowed the work of the Bauhaus school and is a landmark in the development of architecture in Europe and North America.</p>",2011,Europe,EU,Germany,Cultural,1.88,0,0,pfagus factory alfeld began around design walter gropius landmark development modern architecture industrial design serving stage manufacture storage dispatch last used shoe industry still operational today situated alfeld der leine lower saxony groundbreaking vast expanse glass panel functionalist aesthetic foreshadowed work bauhaus school landmark development architecture europe north americap
The Persian Garden,"<p>The property includes nine gardens in as many provinces. They exemplify the diversity of Persian garden designs that evolved and adapted to different climate conditions while retaining principles that have their roots in the times of Cyrus the Great, 6th century BC. Always divided into four sectors, with water playing an important role for both irrigation and ornamentation, the Persian garden was conceived to symbolize Eden and the four Zoroastrian elements of sky, earth, water and plants. These gardens, dating back to different periods since the 6th century BC, also feature buildings, pavilions and walls, as well as sophisticated irrigation systems. They have influenced the art of garden design as far as India and Spain.</p>",2011,Middle East,AS,Iran (Islamic Republic of),Cultural,716.35,0,0,property includes nine garden province exemplify diversity persian garden design evolved adapted different climate condition retaining principle root time cyrus bc always divided four sector water playing role irrigation ornamentation persian garden conceived symbolize eden four zoroastrian element sky earth water plant garden dating back different since bc also pavilion wall sophisticated irrigation influenced art garden design far india spainp
Longobards in Italy. Places of the Power (568-774 A.D.),"<p>The Longobards in Italy, Places of Power, 568 - 774 A.D.&nbsp;comprises seven groups of important buildings (including fortresses, churches, and monasteries) throughout the Italian Peninsula. They testify to the high achievement of the Lombards, who migrated from northern Europe and developed their own specific culture in Italy where they ruled over vast territories in the 6th to 8th centuries. The Lombards synthesis of architectural styles marked the transition from Antiquity to the European Middle Ages, drawing on the heritage of Ancient Rome, Christian spirituality, Byzantine influence and Germanic northern Europe. The serial property testifies to the Lombards' major role in the spiritual and cultural development of Medieval European Christianity, notably by bolstering the monastic movement.</p>",2011,Europe,EU,Italy,Cultural,14.08,0,0,longobards italy place power adnbspcomprises seven group fortress church monastery throughout italian peninsula testify high achievement lombard migrated northern europe developed specific culture italy ruled vast territory lombard synthesis architectural style marked transition antiquity european middle age drawing heritage ancient rome christian spirituality byzantine influence germanic northern europe serial property testifies lombard major role spiritual cultural development medieval european christianity notably bolstering monastic movementp
"Hiraizumi – Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land","<p>Hiraizumi - Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land&nbsp;comprises five sites, including the sacred Mount Kinkeisan. It features vestiges of government offices dating from the 11th and 12th centuries when Hiraizumi was the administrative centre of the northern realm of Japan and rivalled Kyoto. The realm was based on the cosmology of Pure Land Buddhism, which spread to Japan in the 8th century. It represented the pure land of Buddha that people aspire to after death, as well as peace of mind in this life. In combination with indigenous Japanese nature worship and Shintoism, Pure Land Buddhism developed a concept of planning and garden design that was unique to Japan.</p>",2011,Asia and the Pacific,AS,Japan,Cultural,176.2,0,0,phiraizumi temple garden archaeological representing buddhist pure landnbspcomprises five sacred mount kinkeisan vestige government office dating hiraizumi administrative centre northern realm japan rivalled kyoto realm based cosmology pure land buddhism spread japan represented pure land buddha people aspire death peace mind life combination indigenous japanese nature worship shintoism pure land buddhism developed concept planning garden design unique japanp
Ogasawara Islands,"<p>The property numbers more than 30 islands clustered in three groups and covers surface area of 7,939 hectares. The islands offer a variety of landscapes and are home to a wealth of fauna, including the Bonin Flying Fox, a critically endangered bat, and 195 endangered bird species. Four-hundred and forty-one native plant taxa have been documented on the islands whose waters support numerous species of fish, cetaceans and corals. Ogasawara Islands' ecosystems reflect a range of evolutionary processes illustrated through its assemblage of plant species from both southeast and northwest Asia, alongside many endemic species.</p>",2011,Asia and the Pacific,AS,Japan,Natural,7939.0,0,0,property number island clustered group cover surface hectare island offer variety home wealth fauna bonin flying fox critically endangered bat endangered bird specie fourhundred fortyone native plant taxon documented island whose water support numerous specie fish cetacean coral ogasawara island ecosystem reflect range evolutionary process illustrated assemblage plant specie southeast northwest asia alongside endemic speciesp
Wadi Rum Protected Area,"<p>The 74,000-hectare property, inscribed as a mixed natural and cultural site, is situated in southern Jordan, near the border with Saudi Arabia. It features a varied desert landscape consisting of a range of narrow gorges, natural arches, towering cliffs, ramps, massive landslides and caverns. Petroglyphs, inscriptions and archaeological remains in the site testify to 12,000 years of human occupation and interaction with the natural environment. The combination of 25,000 rock carvings with 20,000 inscriptions trace the evolution of human thought and the early development of the alphabet. The site illustrates the evolution of pastoral, agricultural and urban activity in the region.</p>",2011,Middle East,AS,Jordan,Mixed,74179.7,0,0,property inscribed mixed natural cultural situated southern jordan near border saudi arabia varied desert consisting range narrow gorge natural arch towering cliff ramp massive landslide cavern petroglyph inscription archaeological remains testify year human occupation interaction natural environment combination rock carving inscription trace evolution human thought early development alphabet illustrates evolution pastoral agricultural urban activity regionp
Kenya Lake System in the Great Rift Valley,"<p>The Kenya Lake System in the Great Rift Valley , a natural property of outstanding beauty, comprises three inter-linked relatively shallow lakes (Lake Bogoria, Lake Nakuru and Lake Elementaita) in the Rift Valley Province of Kenya and covers a total area of 32,034 hectares. The property is home to 13 globally threatened bird species and some of the highest bird diversities in the world. It is the single most important foraging site for the lesser flamingo anywhere, and a major nesting and breeding ground for great white pelicans. The property features sizeable mammal populations, including black rhino, Rothschild's giraffe, greater kudu, lion, cheetah and wild dogs and is valuable for the study of ecological processes of major importance.</p>",2011,Africa,AF,Kenya,Natural,32034.0,0,0,kenya lake rift valley natural property outstanding beauty comprises interlinked relatively shallow lake lake bogoria lake nakuru lake elementaita rift valley province kenya cover total hectare property home globally threatened bird specie highest bird diversity single foraging lesser flamingo anywhere major nesting breeding ground white pelican property sizeable mammal population black rhino rothschild giraffe greater kudu lion cheetah wild dog valuable study ecological process major importancep
"Fort Jesus, Mombasa","<p>The Fort, built by the Portuguese in 1593-1596 to the designs of Giovanni Battista Cairati to protect the port of Mombasa, is one of the most outstanding and well preserved examples of 16th Portuguese military fortification and a landmark in the history of this type of construction. The Fort's layout and form reflected the Renaissance ideal that perfect proportions and geometric harmony are to be found in the human body. The property covers an area of 2.36 hectares and includes the fort's moat and immediate surroundings.</p>",2011,Africa,AF,Kenya,Cultural,2.36,0,0,fort portuguese design giovanni battista cairati protect port mombasa outstanding preserved example portuguese military fortification landmark history type construction fort layout reflected renaissance ideal perfect proportion geometric harmony found human body property cover hectare includes fort moat immediate surroundingsp
Petroglyphic Complexes of the Mongolian Altai,"<p>The numerous rock carvings and funerary monuments found in these three sites illustrate the development of culture in Mongolia over a period of 12,000 years. The earliest images reflect a time (11,000 - 6,000 BC) when the area was partly forested and the valley provided a habitat for hunters of large game. Later images show the transition to herding as the dominant way of life. The most recent images show the transition to a horse-dependent nomadic lifestyle during the early 1st millennium BC, the Scythian period and the later Turkic period (7th and 8th centuries AD). The carvings contribute valuably to our understanding of pre-historic communities in northern Asia.</p>",2011,Asia and the Pacific,AS,Mongolia,Cultural,11300.0,0,0,numerous rock carving funerary monument found illustrate development culture mongolia year earliest image reflect time bc partly forested valley provided habitat hunter large game later image show transition herding dominant way life recent image show transition horsedependent nomadic lifestyle early millennium bc scythian later turkic ad carving contribute valuably understanding prehistoric community northern asiap
León Cathedral,"<p>Built between 1747 and the early 19th century to the design of Guatemalan architect Diego José de Porres Esquivel, the monument expresses the transition from Baroque to Neoclassical architecture and its style can be considered to be eclectic. The Cathedral is characterized by the sobriety of its interior decoration and the abundance of natural light. The vault of the Sanctuary, however, presents rich ornamentation. The Cathedral houses important works of art including a wooden Flemish altarpiece, and paintings of the 14 stations of the Way of the Cross by Nicaraguan artist Antonio Sarria (late 19th and early 20th centuries).</p>",2011,Latin America and the Caribbean,NA,Nicaragua,Cultural,0.77,0,0,pbuilt early design guatemalan architect diego josé de porres esquivel monument express transition baroque neoclassical architecture style considered eclectic cathedral characterized sobriety interior decoration abundance natural light vault sanctuary however present rich ornamentation cathedral house work art wooden flemish altarpiece painting station way cross nicaraguan artist antonio sarria late early centuriesp
Saloum Delta,"<p>Fishing and shellfish gathering have sustained human life in the 5,000 km2 property, which is formed by the arms of three rivers. The site comprises brackish channels encompassing over 200 islands and islets, mangrove forest, an Atlantic marine environment, and dry forest.</p>
<p>The site is marked by 218 shellfish mounds, some of them several hundreds metres long, produced by its human inhabitants over the ages. Burial sites on 28 of the mounds take the form of tumuli where remarkable artefacts have been found. They are important for our understanding of cultures from the various periods of the delta's occupation and testify to the history of human settlement along the coast of West Africa.</p>",2011,Africa,AF,Senegal,Cultural,145811.0,0,0,pfishing shellfish gathering sustained human life property formed arm river comprises brackish channel encompassing island islet mangrove forest atlantic marine environment dry forestppthe marked shellfish mound several hundred metre long produced human inhabitant age burial mound take tumuli remarkable artefact found understanding culture various delta occupation testify history human settlement along coast west africap
Cultural Landscape of the Serra de Tramuntana,<p>The Cultural Landscape of the Serra de Tramuntana located on a sheer-sided mountain range parallel to the north-western coast of the island of Mallorca. Millennia of agriculture in an environment with scarce resources has transformed the terrain and displays an articulated network of devices for the management of water revolving around farming units of feudal origins. The landscape is marked by agricultural terraces and inter-connected water works - including water mills - as well as dry stone constructions and farms.</p>,2011,Europe,EU,Spain,Cultural,30745.0,0,0,cultural serra de tramuntana located sheersided mountain range parallel northwestern coast island mallorca millennium agriculture environment scarce resource transformed terrain display articulated network device management water revolving around farming unit feudal origin marked agricultural terrace interconnected water work water mill dry stone construction farmsp
Archaeological Sites of the Island of Meroe,"<p>The Archaeological Sites of the Island of Meroe, a semi-desert landscape between the Nile and Atbara rivers, was the heartland of the Kingdom of Kush, a major power from the 8th century B.C. to the 4th century A.D. The property consists of the royal city of the Kushite kings at Meroe, near the River Nile, the nearby religious site of Naqa and Musawwarat es Sufra. It was the seat of the rulers who occupied Egypt for close to a century and features, among other vestiges, pyramids, temples and domestic buildings as well as major installations connected to water management. Their vast empire extended from the Mediterranean to the heart of Africa, and the property testifies to the exchange between the art, architectures, religions and languages of both regions.</p>",2011,Africa,AF,Sudan,Cultural,2357.36,0,0,archaeological island meroe semidesert nile atbara river heartland kingdom kush major power bc ad property consists royal kushite king meroe near river nile nearby religious naqa musawwarat e sufra seat ruler occupied egypt close among vestige pyramid temple domestic major installation connected water management vast empire extended mediterranean heart africa property testifies exchange art architecture religion language regionsp
Ancient Villages of Northern Syria,"<p>Some 40 villages grouped in eight parks situated in north-western Syria provide remarkable testimony to rural life in late Antiquity and during the Byzantine period. Abandoned in the 8th to 10th centuries, the villages, which date from the 1st to 7th centuries, feature a remarkably well preserved landscape and the architectural remains of dwellings, pagan temples, churches, cisterns, bathhouses etc. The relict cultural landscape of the villages also constitutes an important illustration of the transition from the ancient pagan world of the Roman Empire to Byzantine Christianity. Vestiges illustrating hydraulic techniques, protective walls and Roman agricultural plot plans furthermore offer testimony to the inhabitants' mastery of agricultural production.</p>",2011,Middle East,AS,Syrian Arab Republic,Cultural,12290.0,0,1,psome village grouped eight park situated northwestern syria provide remarkable testimony rural life late antiquity byzantine abandoned village date remarkably preserved architectural remains dwelling pagan temple church cistern bathhouse etc relict cultural village also constitutes illustration transition ancient pagan roman empire byzantine christianity vestige illustrating hydraulic technique protective wall roman agricultural plot plan furthermore offer testimony inhabitant mastery agricultural productionp
Selimiye Mosque and its Social Complex,"<p>The square Mosque with its single great dome and four slender minarets, dominates the skyline of the former Ottoman capital of Edirne. Sinan, the most famous of Ottoman architects in the 16th century, considered the complex, which includes madrasas (Islamic schools), a covered market, clock house, outer courtyard and library, to be his best work. The interior decoration using Iznik tiles from the peak period of their production testifies to an art form that remains unsurpassed in this material. The complex is considered to be the most harmonious expression ever achieved of the Ottoman k&uuml;lliye, a group of buildings constructed around a mosque and managed as a single institution.</p>",2011,Middle East,AS,Turkey,Cultural,2.5,0,0,square mosque single dome four slender minaret dominates skyline former ottoman capital edirne sinan famous ottoman architect considered includes madrasa islamic school covered market clock house outer courtyard library best work interior decoration using iznik tile peak production testifies art remains unsurpassed material considered harmonious expression ever achieved ottoman kuumllliye group constructed around mosque managed single institutionp
